0, 0
228, 298
470, 110
119, 45
17, 27
317, 148
445, 437
349, 293
343, 15
409, 253
440, 181
311, 429
83, 278
67, 209
441, 458
384, 470
381, 122
299, 261
190, 189
437, 176
98, 420
264, 198
486, 142
133, 159
21, 417
478, 97
39, 21
200, 386
22, 490
14, 179
456, 466
339, 241
348, 351
176, 266
376, 178
16, 193
351, 229
476, 34
95, 270
451, 282
410, 95
457, 193
386, 90
425, 33
117, 127
255, 99
269, 76
177, 223
65, 165
60, 321
190, 364
419, 148
333, 99
489, 173
189, 115
200, 27
276, 420
408, 402
456, 368
484, 498
333, 231
450, 244
56, 237
382, 164
162, 165
267, 266
391, 61
351, 109
489, 41
135, 173
41, 227
299, 235
171, 99
385, 193
455, 212
133, 264
402, 213
301, 190
81, 488
145, 134
208, 485
131, 25
404, 301
15, 460
367, 473
61, 464
0, 361
46, 38
264, 184
187, 496
360, 75
180, 272
192, 346
321, 430
16, 400
351, 493
45, 444
9, 390
261, 490
490, 196
46, 352
270, 19
253, 484
51, 489
98, 419
45, 145
229, 231
163, 349
33, 178
273, 316
66, 479
353, 431
313, 402
489, 57
135, 8
426, 116
107, 398
326, 249
59, 393
142, 251
295, 28
28, 392
371, 77
46, 251
306, 373
293, 489
445, 43
185, 268
66, 304
314, 90
334, 265
277, 390
488, 222
101, 476
357, 251
391, 116
389, 88
98, 434
240, 308
317, 53
192, 24
405, 498
403, 77
66, 346
200, 423
80, 378
328, 111
377, 498
481, 440
60, 230
445, 84
134, 447
308, 213
470, 402
333, 100
284, 252
273, 174
465, 454
4, 97
324, 290
13, 398
159, 69
66, 149
5, 349
449, 247
56, 35
410, 73
465, 110
332, 358
410, 29
369, 368
374, 294
360, 234
245, 390
97, 98
137, 246
428, 67
197, 12
416, 5
232, 240
476, 297
16, 54
57, 5
340, 498
134, 13
137, 21
345, 446
66, 447
94, 414
394, 336
455, 238
333, 438
341, 350
500, 471
350, 385
406, 460
71, 284
382, 296
465, 26
276, 346
92, 460
358, 120
40, 191
330, 243
158, 323
404, 477
159, 285
413, 113
351, 442
6, 481
433, 185
78, 452
317, 292
345, 202
460, 380
387, 319
374, 21
492, 490
321, 374
15, 64
438, 432
416, 328
453, 256
420, 431
278, 240
136, 396
472, 388
412, 171
385, 224
465, 367
34, 251
176, 14
458, 120
411, 417
171, 185
21, 349
416, 394
330, 456
207, 107
327, 96
215, 370
453, 371
5, 221
343, 444
420, 312
208, 488
282, 173
54, 458
248, 146
108, 363
220, 468
224, 273
165, 483
498, 386
11, 377
11, 144
471, 90
22, 144
276, 305
348, 447
0, 287
249, 161
182, 89
351, 122
354, 143
379, 278
296, 8
174, 42
155, 124
292, 163
400, 434
219, 378
410, 434
397, 83
375, 84
93, 350
251, 102
330, 471
3, 486
216, 53
393, 241
427, 189
178, 448
58, 335
149, 312
114, 141
443, 78
114, 165
118, 86
33, 339
331, 56
463, 241
348, 216
95, 107
110, 387
22, 32
275, 207
424, 370
376, 306
323, 243
306, 126
42, 276
88, 451
229, 1
461, 32
199, 89
389, 358
366, 42
262, 409
213, 192
358, 215
21, 200
158, 39
462, 212
77, 286
222, 28
292, 92
238, 171
132, 224
487, 361
339, 124
361, 154
208, 219
449, 476
333, 255
23, 219
193, 3
137, 321
88, 305
402, 449
366, 37
446, 492
241, 464
59, 115
282, 314
336, 411
98, 192
51, 428
480, 414
242, 465
463, 71
482, 213
33, 302
259, 11
489, 15
478, 144
194, 9
458, 193
95, 181
218, 181
319, 143
442, 6
134, 390
489, 372
251, 160
401, 279
29, 305
95, 205
222, 269
209, 476
103, 175
21, 249
382, 47
424, 25
284, 373
346, 443
418, 97
125, 498
394, 388
105, 224
55, 361
333, 276
147, 156
123, 461
497, 128
358, 40
0, 320
77, 373
189, 482
293, 77
258, 404
155, 10
183, 429
376, 114
276, 363
93, 7
369, 235
170, 11
358, 373
178, 359
309, 465
235, 185
449, 359
491, 303
410, 271
265, 351
218, 24
5, 166
27, 173
472, 174
185, 459
243, 348
142, 197
88, 203
123, 10
479, 160
347, 297
487, 188
0, 91
148, 316
333, 421
485, 10
64, 4
314, 357
254, 419
135, 53
207, 323
400, 140
242, 417
110, 340
160, 27
379, 181
191, 291
4, 428
336, 48
175, 251
434, 100
189, 295
365, 140
353, 324
27, 195
358, 130
299, 383
402, 146
403, 9
347, 460
351, 77
455, 304
218, 64
346, 67
21, 333
284, 6
382, 21
157, 141
270, 459
405, 283
256, 489
349, 23
414, 291
13, 402
474, 399
366, 34
164, 454
166, 477
169, 338
417, 297
422, 498
483, 481
223, 60
306, 405
37, 306
148, 384
197, 200
115, 255
28, 475
162, 329
216, 274
270, 22
109, 317
111, 306
104, 243
295, 149
109, 393
18, 31
8, 288
121, 338
7, 435
172, 414
200, 186
488, 374
174, 198
411, 132
274, 53
379, 486
230, 151
224, 261
467, 447
173, 400
207, 168
222, 393
22, 70
52, 474
313, 473
8, 407
205, 333
499, 134
302, 65
5, 445
359, 169
378, 482
254, 14
